product_gf_code,product_name,product_sku,Available,Damaged,Expired,MRP
GF0123456_1623,"Chukde Mirch Powder-ex-Hot, 100 gm",SCSSNGCKD00000013,0,0,0,29.00
GF0123456_1623_1,"Chukde Mirch Powder-ex-Hot, 100 gm",SCSSNGCKD00000051,0,0,0,
GF0123456_1624,"Chukde Haldi Powder, 200 gm",SCSSNGCKD00000014,24,0,0,54.00
GF0123456_1625,"Chukde Dhania Powder, 200 gm",SCSSNGCKD00000015,17,0,0,56.00
GF0123456_1626,"Chukde Red Chilli Powder, 200 gm",SCSSNGCKD00000016,0,0,0,58.00
GF0123456_1626_1,"Chukde Red Chilli Powder, 200 gm",SCSSNGCKD00000049,67,0,0,72.00
GF0123456_1627,"Chukde Haldi Powder, 500 gm",SCSSNGCKD00000017,0,0,0,130.00
GF0123456_1628,"Chukde Dhania Powder, 500 gm",SCSSNGCKD00000018,0,0,0,135.00
GF0123456_1629,"Chukde Lal Mirch Powder, 500 gm",SCSSNGCKD00000019,0,0,0,140.00
GF0123456_1629_1,"Chukde Lal Mirch Powder, 500 gm",SCSSNGCKD00000052,78,0,0,175.00
GF0123456_163,"Kiwi Drain Cleaner, 50 gm",HOKHOKKIW00000001,0,0,0,25.00
GF0123456_1630,"Chukde Haldi Powder, 1 kg",SCSSNGCKD00000020,0,0,0,260.00
GF0123456_1631,"Chukde Dhania Powder, 1 kg",SCSSNGCKD00000021,0,0,0,260.00
GF0123456_1632,"Chukde Lal Mirch Powder, 1 kg",SCSSNGCKD00000022,0,0,0,280.00
GF0123456_1633,"Chukde Lal Mirch Kutti, 200 gm",SCSSNGCKD00000023,0,0,0,70.00
GF0123456_1633_1,"Chukde Lal Mirch Kutti, 200 gm",SCSSNGCKD00000054,103,0,0,80.00
GF0123456_1634,"Chukde Lal Mirch Kutti, 500 gm",SCSSNGCKD00000024,0,0,0,170.00
GF0123456_1635,"Chukde Amchur Powder, 100 gm",SCSSNGCKD00000025,0,0,0,60.00
GF0123456_1635_1,"Chukde Amchur Powder, 100 gm",SCSSNGCKD00000057,143,0,0,65.00
GF0123456_1636,"Chukde Black Pepper Powder, 50 gm",SCSSNGCKD00000026,165,0,0,60.00
GF0123456_1637,"Chukde Jeera Powder, 100 gm",SCSSNGCKD00000027,133,0,0,50.00
GF0123456_1638,"Chukde Anardana Powder, 100 gm",SCSSNGCKD00000028,0,0,0,120.00
GF0123456_1638_1,"Chukde Anardana Powder, 100 gm",SCSSNGCKD00000056,83,0,0,160.00
GF0123456_1639,"Chukde Pav Bhaji Masala, 100 gm",SCSSNGCKD00000029,0,0,0,60.00
GF0123456_164,"Kiwi Liquid Shoe Polish Black, 75 ml",HOKHOKKIW00000004,12,0,0,74.00
GF0123456_1640,"Chukde Sambhar Masala, 100 gm",SCSSNGCKD00000030,0,0,0,60.00
GF0123456_1641,"Chukde Chana Masala, 100 gm",SCSSNGCKD00000031,0,0,0,55.00
GF0123456_1642,"Chukde Kasoori Methi, 25 gm",SCSSNGCKD00000032,117,0,0,26.00
GF0123456_1643,"Chukde Meat Masala, 100 gm",SCSSNGCKD00000033,0,0,0,65.00
GF0123456_1644,"Chukde Kitchen King, 100 gm",SCSSNGCKD00000034,0,0,0,60.00
GF0123456_1645,"Chukde Biryani Pulav Masala, 50 gm",SCSSNGCKD00000035,0,0,0,70.00
GF0123456_1646,"Chukde Chicken Curry Masala, 100 gm",SCSSNGCKD00000036,0,0,0,60.00
GF0123456_1647,"Chukde Dal Makhani Masala, 100 gm",SCSSNGCKD00000037,0,0,0,65.00
GF0123456_1648,"Chukde Shahi Paneer Masala, 100 gm",SCSSNGCKD00000038,0,0,0,75.00
GF0123456_1649,"Chukde Subzi Masala, 100 gm",SCSSNGCKD00000039,0,0,0,48.00
GF0123456_165,"Kiwi Liquid Shoe Polish Neutral, 75 ml",HOKHOKKIW00000006,0,0,0,74.00
GF0123456_1650,"Chukde Moti Elaichi, 50 gm",SCSSNGCKD00000040,0,0,0,120.00
GF0123456_1650_1,"Chukde Moti Elaichi, 50 gm",SCSSNGCKD00000050,0,0,0,100.00
GF0123456_1650_2,"Chukde Moti Elaichi, 50 gm",SCSSNGCKD00000059,138,0,0,90.00
GF0123456_1651,"Chukde Garam Masala Sabut, 100 gm",SCSSNGCKD00000041,126,0,0,110.00
