Product ID,Product SKU,Product Name,Parent ID,Parent Name,Product Status,MRP
17724,TNCBNCTET00000013,Tata Tetley Masala TB 50 Gm,PTNCTET0022,Tata Tetley Masala TB 50 Gm,active,200
17723,TNCBNCTTE00000040,TATA AGNI LEAF 1KG,PTNCTAT0020,TATA AGNI LEAF 1KG,active,210
17722,TNCBNCTTE00000039,Tata Tea Premium 1 Kg,PTNCTAT0052,Tata Tea Premium Poly Pack 1 kg,active,417
17720,TNCBNCTTE00000037,"Tata Tea Premium, 500 Gm",PTNCTAT0050,Tata Tea Premium Poly Pack 500 gm,active,209
17718,TNCBNCTTE00000035,Tata Tea Premium 1 Kg,PTNCTAT0052,Tata Tea Premium Poly Pack 1 kg,active,500
17717,TNCBNCTAT00000008,Tata Tea Agni Poly Pack 500 gm,PTNCTAT0032,Tata Tea Agni Poly Pack 500 gm,active,110
17716,STSSTSLOC00000289,Cartage,PSTSLOC0760,Cartage,active,800
17715,STSSTSLOC00000288,White Board Black Marker,PSTSLOC0762,White Board Black Marker,active,21
17714,STSSTSLOC00000287,Punching Machine DP 280,PSTSLOC0764,Punching Machine DP 280,active,70
17697,DAIDAICPE00000011,Cp Ch Tikka 250Gm,PDAICPE0002,Cp Ch Tikka 250Gm,active,200
17696,DAIDAICPE00000010,Cp Brekfasr Ch Sausage 500Gm,PDAICPE0004,Cp Brekfasr Ch Sausage 500Gm,active,240
17695,DAIDAICPE00000009,Cp Brekfast Ch Sausage 250Gm,PDAICPE0006,Cp Brekfast Ch Sausage 250Gm,active,125
17694,DAIDAICPE00000008,Cp Classic Ch Burger Patty 500Gm,PDAICPE0008,Cp Classic Ch Burger Patty 500Gm,active,250
17693,DAIDAICPE00000007,Cp Cripsy Ch Popcorn 400Gm,PDAICPE0010,Cp Cripsy Ch Popcorn 400Gm,active,200
17692,DAIDAICPE00000006,Cp Cripsy Ch Popcorn 250Gm,PDAICPE0012,Cp Cripsy Ch Popcorn 250Gm,active,150
17691,DAIDAICPE00000005,Cp Ch Seekh Kebab 500Gm,PDAICPE0014,Cp Ch Seekh Kebab 500Gm,active,280
17690,DAIDAICPE00000004,Cp Ch Seekh Kebab 250,PDAICPE0016,Cp Ch Seekh Kebab 250,active,145
17689,DAIDAICPE00000003,Cp Brekfast Ch Salami 250Gm,PDAICPE0018,Cp Brekfast Ch Salami 250Gm,active,135
17688,DAIDAICPE00000002,Cp Supreme Ch Nuggets 500Gm,PDAICPE0020,Cp Supreme Ch Nuggets 500Gm,active,300
17687,DAIDAICPE00000001,Cp Supreme Ch Nuggets 300Gm,PDAICPE0022,Cp Supreme Ch Nuggets 300Gm,active,170
