Product ID,Product SKU ID,Match,Product Name,Product Status,MRP,MRP Status,MRP Approval Status,Remarks,MRP
6552,SHMHARDOV00000019,SHMHARDOV00000019,Dove Nutritive Solutions Daily Shine 5.5 ml,TRUE,NA,NA,NA,Product is Active but price not found,2
6743,HARHPCPAN00000005,HARHPCPAN00000005,Pantene Shampoo Hairfall Control 5 ml,TRUE,NA,NA,NA,Product is Active but price not found,2
8594,HPCHPCPAN00000001,HPCHPCPAN00000001,Pantene Shampoo And Conditioner 5Ml plus 5Ml,TRUE,NA,NA,NA,Product is Active but price not found,2
9112,HPCHPCDOV00000016,HPCHPCDOV00000016,Dove Hair Therapy Dandruff Care Shampoo 6Ml,TRUE,NA,NA,NA,Product is Active but price not found,2
13442,HPCHPCHNS00000015,HPCHPCHNS00000015,Head& Shoulder Basic Cleean Shampoo 5 Ml,TRUE,NA,NA,NA,Product is Active but price not found,2
13026,HNKHNKLOC00000522,HNKHNKLOC00000522,Uni Wash Detergeent Powder 18 Gm ,TRUE,NA,NA,NA,Product is Active but price not found,2
13666,HNKHNKLOC00000836,HNKHNKLOC00000836,Supari 1 Pcs,TRUE,NA,NA,NA,Product is Active but price not found,2
13869,HNKHNKLOC00000940,HNKHNKLOC00000940,Mangal Kalash Kumkum Roli,TRUE,NA,NA,NA,Product is Active but price not found,2
13870,HNKHNKLOC00000941,HNKHNKLOC00000941,Premium Sunflower Safety Matches 1N,TRUE,NA,NA,NA,Product is Active but price not found,2
14315,HPCHPCHNS00000020,HPCHPCHNS00000020,Head & shoulders anti dandruff shampoo basic cool 4+1 free 5 ml,TRUE,NA,NA,NA,Product is Active but price not found,2
14316,HPCHPCHNS00000021,HPCHPCHNS00000021,Head & shoulders anti dandruff shampoo BASIC smooth 5 ml,TRUE,NA,NA,NA,Product is Active but price not found,2
14437,HPCHPCPAN00000023,HPCHPCPAN00000023,Pantene silky smooth shampoo 5 ml,TRUE,NA,NA,NA,Product is Active but price not found,2
14801,BNCBNCNCF00000010,BNCBNCNCF00000010,Nescafe classic coffee sachets 1.5 g,TRUE,NA,NA,NA,Product is Active but price not found,2
14925,STSSTSLOC00000103,STSSTSLOC00000103,Ariel perfect wash 11+3.3. g,TRUE,NA,NA,NA,Product is Active but price not found,2
18933,HPCHPCLIS00000012,HPCHPCLIS00000012,BAND _ AID 1 N ,TRUE,NA,NA,NA,Product is Active but price not found,2
15114,HPCHPCTRE00000016,HPCHPCTRE00000016,Tresemme Hair Fall Defense 6 Ml,TRUE,NA,NA,NA,Product is Active but price not found,2
15440,STSSTSLOC00000166,STSSTSLOC00000166,Doms Sharpener,TRUE,NA,NA,NA,Product is Active but price not found,2
15931,BNCBNCBRU00000005,BNCBNCBRU00000005,Bru instant coffee 2.2 g,TRUE,NA,NA,NA,Product is Active but price not found,2
16331,HNKHNKLOC00001401,HNKHNKLOC00001401,LOOSE DISPOSAL GLASS 200 ML ,TRUE,NA,NA,NA,Product is Active but price not found,2
17974,HNKHNKLOC00001962,HNKHNKLOC00001962,Plastic Glass Medium,TRUE,NA,NA,NA,Product is Active but price not found,2
17886,STSSTSLOC00000305,STSSTSLOC00000305,Doms Erser,TRUE,NA,NA,NA,Product is Active but price not found,2
17898,HPCHPCLOC00000416,HPCHPCLOC00000416,Hansaplast Reglar,TRUE,NA,NA,NA,Product is Active but price not found,2
17899,SNGSNGLOC00000820,SNGSNGLOC00000820,Hot Chilli Flakes Pouch,TRUE,NA,NA,NA,Product is Active but price not found,2
17969,SNGSNGLOC00000844,SNGSNGLOC00000844,Origano Spice Sprinkler Pouch,TRUE,NA,NA,NA,Product is Active but price not found,2
9528,HPCHPCTRE00000002,HPCHPCTRE00000002,Tresemme Hair Fall Defense Shampoo 7.5Ml,TRUE,NA,NA,NA,Product is Active but price not found,3
