Parent Name ,Brand,Category,HSN,GST,Cess,Surcharge,Brand Case Size,Inner Case Size
"Doublemint Spearmint Thin Mints, 4.8 gm",Mars International,beverage_and_confectionary,21069099,18%,0%,0,20,20
"Doublemint Peppermint Chewing Gum Tab, 7.4 gm",Mars International,beverage_and_confectionary,17041000,18%,0%,0,24,24
"Doublemint Strongmint Chewing Gum Tab, 7.4 gm",Mars International,beverage_and_confectionary,17041000,18%,0%,0,24,24
"Doublemint Peppermint Chewing Gum Stick, 13 gm",Mars International,beverage_and_confectionary,17041000,18%,0%,0,20,20
"Dairy Milk, 6.3gm ",Mondelez,beverage_and_confectionary,18069010,18%,0%,0,24,72
"Gems, 10.68gm",Mondelez,beverage_and_confectionary,18069010,18%,0%,0,1008,84
"Everin Mixed Pickles Jar, 1 kg",Everin,processed_food,2001,12%,0%,0,12,2
Saffola Fittify Hi Protein Soup Italian Mix Veg 24 Gm ,Local brand,processed_food,21041010,12%,0%,0,1,1
Sagar Crispy Cake Rusk 400 Gm ,Local brand,staple_and_grocery,3004,0%,0%,0,1,1
Sagar Oven Fresh Crispy Puffs 200 Gm ,Local brand,staple_and_grocery,3004,0%,0%,0,1,1
Salsalito Salsa Dip 300 Gm ,Local brand,processed_food,21039030,12%,0%,0,1,1
"Everin Mixed Pickles Jar, 5 kg",Everin,processed_food,2001,12%,0%,0,4,1
Sewai 400 Gm ,Local brand,home_and_kitchen,9603,18%,0%,0,1,1
Shree Ji Shyam Namkeen 500 Gm ,Local brand,processed_food,2106,12%,0%,0,1,1
"Everin Nutri Soya Chunks, 50 gm",Everin,staple_and_grocery,2016,12%,0%,0,200,1
Shri Ganesh Apple Murabba 500 Gm ,Local brand,processed_food,2106,12%,0%,0,1,1
Snac A Tac Gol Mal Fry Papad 1 Kg ,Local brand,processed_food,21069099,12%,0%,0,1,1
Snack Factory Makhana Achari Mango  Twist 20 Gm ,Local brand,processed_food,21069099,12%,0%,0,1,1
Snack Factory Makhana Lemon Masal  Twist 20 Gm ,Local brand,processed_food,21069099,12%,0%,0,1,1
Snack Factory Makhanaa Pudina Masala Twist 20 Gm ,Local brand,processed_food,21069099,12%,0%,0,1,1
"Everin Nutri Soya Chunks, 100 gm",Everin,staple_and_grocery,2016,12%,0%,0,120,1
Storia Street Style Drink Pomeganate Masala 180 Gm ,Local brand,beverage_and_confectionary,22029920,12%,0%,0,1,1
Sundrop Peanut Spread Creamy 462 Gm ,Sundrop,staple_and_grocery,1517,5%,0%,0,1,1
"Everin Nutri Soya Chunks, 200 gm",Everin,staple_and_grocery,2016,12%,0%,0,50,5
Tasty Navratan Mix Chak Chak Chabao 1 Kg ,Local brand,processed_food,21069099,12%,0%,0,1,1
Tasty Treat Green Chilli Sauce 190   Gm ,Local brand,processed_food,2103,12%,0%,0,1,1
Tata Cheesy Chicken Pasta 305 Gm ,TATA,processed_food,19023010,12%,0%,0,1,1
Tata Cheesy Pasta With Black Olives  290 Gm ,TATA,processed_food,2017,12%,0%,0,1,1
Tata Hot & Spicy Schezwan Noodles With Chicken 305 Gm ,TATA,processed_food,19023010,12%,0%,0,1,1
Tata Saucy Tomato Pasta With Veggies 290  Gm ,TATA,processed_food,19023010,12%,0%,0,1,1
Tea Valley Royal Black Tea 250 Gm ,Local brand,beverage_and_confectionary,9021010,5%,0%,0,1,1
"Everin Nutri Soya Chunks, 1 kg",Everin,staple_and_grocery,2016,12%,0%,0,18,3
Tops Brown Vinegar 610 Ml ,TOPS,processed_food,22090020,18%,0%,0,1,1
Tops Gold Mixed Pickle 7 Gm ,TOPS,processed_food,1902,12%,0%,0,1,1
Unibic Milk Cookies 36 Gm ,UNIBIC,processed_food,19053100,18%,0%,0,1,1
Veeba Burger Mayonnise 250 Gm ,Veeba,processed_food,21039030,12%,0%,0,1,1
"Everin Hing, 10 gm",Everin,staple_and_grocery,2016,5%,0%,0,200,1
Veeba Food Services White Cheese Dressing 1 Kg ,Veeba,processed_food,21039030,12%,0%,0,1,1
Veeba Garlic Mayonnise 250 Gm ,Veeba,processed_food,21039030,12%,0%,0,1,1
Veeba Mint Mayonnaise 300 Gm ,Veeba,processed_food,21039030,12%,0%,0,1,1
Veeba Pasta & Pizza Souce 280 Gm ,Veeba,processed_food,21039030,12%,0%,0,1,1
Veeba Peanut Butter Crunchy 340 Gm ,Veeba,processed_food,21039030,12%,0%,0,1,1
Veeba Tangy  Musttard Sauce 1 Kg ,Veeba,processed_food,21039030,12%,0%,0,1,1
Veeba Tomato Ketchup 8 Gm ,Veeba,processed_food,21039030,12%,0%,0,1,1
Veeba White Pizza Dressing 285 Gm ,Veeba,processed_food,21039030,12%,0%,0,1,1
"Everin Hing, 25 gm",Everin,staple_and_grocery,2016,5%,0%,0,200,10
Vermicelli Roased 500 Gm ,BAMBINO,processed_food,19059040,5%,0%,0,1,1
Parle Mini milano 100gm,Parle,processed_food,1234,18%,0%,0,40,6
Winkies Mini Swiss Roll Strowbery 30 Gm ,Winkies,processed_food,19053100,18%,0%,0,1,1
Yeast 20 Gm ,Local brand,home_and_kitchen,7607,18%,0%,0,1,1
Zandu Spray Rapid Action Pain Relief 35 Gm ,Zandu Sona,health_and_personal_care,30049011,12%,0%,0,1,1
Carrot Murabba 1Kg,Local brand,processed_food,21032000,12%,0%,0,1,1
Krackjack butter masla 120gm,Parle,processed_food,1234,18%,0%,0,40,10
Parle 20-20 cashew almond 120gm,Parle,processed_food,1234,18%,0%,0,40,1
Chilli Vinegar 500Gm,Local brand,processed_food,2103,12%,0%,0,1,1
Chips Katori Kachri 200Gm,Local brand,processed_food,21069099,18%,0%,0,1,1
City Gold Chai 1Kg,Local brand,beverage_and_confectionary,9021010,5%,0%,0,1,1
Complan Royal Chocolate Flavour 750 Gm ,HUL,beverage_and_confectionary,19010000,18%,0%,0,1,1
Cornflour 100Gm,Local brand,processed_food,21069099,18%,0%,0,1,1
"Juzt Jelly Strawberry Jar, 760 gm + Sticker Free",Perfetti Van Melle,beverage_and_confectionary,17049010,12%,0%,0,16,1
Cup Noodles Rogan Josh Mutton 70Gm,Local brand,processed_food,1902,5%,0%,0,1,1
Priyagold Italiano Butter (Buy 1 get 1 free),Priyagold,processed_food,19053100,18%,0%,0,80,1
Custard Powder 100Gm,Local brand,processed_food,210690,12%,0%,0,1,1
Dabur Gluco Plus C Lemon Flavour 1 Kg ,Dabur,beverage_and_confectionary,4021020,5%,0%,0,1,1
Dabur Glucose D Boost 1 Kg ,Dabur,beverage_and_confectionary,4021020,5%,0%,0,1,1
Dabur Glucose D Boost 500 Gm ,Dabur,beverage_and_confectionary,4021020,5%,0%,0,1,1
