Shop_name,warehouse_id,Barcode,item_id,product_sku,product_name,category,hsn,Tax_structure,GST_flag,MRP,PTC,Realtime_available_qty,Last90daysaleqty
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901537007123,hd-20200318-1432-04861-093-00000-000,RGRSNGDAW00000019,Daawat Rozana Super Basmati Rice 1 kg 8901537007123,staple_and_grocery,1006,In State GST 5 %,GST-5,88,70.4,11,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,4902430295857,hd-20200326-1300-38710-093-00000-000,SNTPCRWSP00000004,Whisper Sanitary Pad Choice Ultra 6 Pcs 4902430295857,health_and_personal_care,9619,In State GST 0 %,GST-0,40,38,1,8
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901262151863_63,hd-20200404-0856-03940-093-00000-000,BFDSNGAMU00000004,"Amul Fresh Cream Tetra, 250 mL 8901262151863_63",staple_and_grocery,4010,In State GST 0 %,GST-0,63,63,10,5
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901414000438_237,hd-20200421-0647-28618-093-33KFL-000,SNKSNKBIK00000006,Bikano Navratan Mix 1 kg 8901414000438_237,processed_food,2106,In State GST 12 %,GST-12,237,177.75,2,16
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901414003477,hd-20200421-0827-37603-093-33KFL-000,NKMPROBIK00000040,Bikano Papad Kali Mirch 200 gm 8901414003477,processed_food,19059040,In State GST 0 %,GST-0,60,51,8,12
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901023019883,hd-20200426-1515-20483-093-33KFL-000,HCOPREGEX00000005,Godrej Expert Black Brown 20 gm 8901023019883,health_and_personal_care,33059040,In State GST 18 %,GST-18,30,30,5,5
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901719115622,hd-20200429-0618-44202-093-33KFL-000,BICPROPAR00000024,"Parle Hide & Seek vanilla Crème Sandwich, 120 gm 8901719115622",processed_food,1905,In State GST 18 %,GST-18,30,28.57,7,11
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906104710109_80,hd-20200506-0606-07080-093-33KFL-000,PKPRTCEVR00000010,Everin Lime Pickles Jar 500 gm 8906104710109_80,processed_food,2001,In State GST 12 %,GST-12,80,48,4,1
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030518584,hd-20200509-1329-05504-093-83V87-000,FPRSBFHUL00000001,"Rex Baking Powder,100 gm 8901030518584",processed_food,2102,In State GST 12 %,GST-12,30,25,8,2
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030767111_113,hd-20200525-0317-14117-093-33KFL-000,HFWBDCLIF00000010,Life Bouy Hand Wash 180 Ml 8901030767111_113,health_and_personal_care,34013019,In State GST 18 %,GST-18,113,112,3,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030748080_84,hd-20200526-0716-42916-093-33KFL-000,SHMHARCLI00000004,Clinic Plus Shampoo Strong And Long Helathy 175 ml 8901030748080_84,health_and_personal_care,33051090,In State GST 18 %,GST-18,84,82,3,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901719112935,hd-20200120-1108-34274-093-00000-000,BSCBSCPAR00000026,Parle Rusk Premium Elaichi 273 gm 8901719112935,processed_food,19054000,In State GST 5 %,GST-5,40,38,10,2
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,690225101134_123,hd-20200122-1426-12653-093-00000-000,RGRSNGIND00000001,Indiagate Dubar Basmati 1 kg 690225101134_123,staple_and_grocery,10063025,In State GST 5 %,GST-5,123,94,7,7
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906035051562_15,hd-20200209-0519-28033-093-00000-000,HARHPCNEH00000007,Neha Herbal Mehendi Natural Base Brown  20 gm 8906035051562_15,health_and_personal_care,33059040,In State GST 18 %,GST-18,15,15,15,0
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906009620039_60,hd-20200210-1536-49764-093-00000-000,GRSGRSUTS00000003,"Uttam Sulphurless Sugar, 1 Kg 8906009620039_60",staple_and_grocery,1701,In State GST 5 %,GST-5,60,45,3,6
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906009620039_60,hd-20200210-1536-49764-093-00000-000,GRSGRSUTS00000003,"Uttam Sulphurless Sugar, 1 Kg 8906009620039_60",staple_and_grocery,1701,In State GST 5 %,GST-5,60,45,3,24
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8904288601107,hd-20200211-0614-20907-093-00000-000,SASPROTOP00000009,Tops Tomato Ketchup Sauce Bottle 1 kg 8904288601107,processed_food,21032000,In State GST 12 %,GST-12,143,128.7,6,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901023014291,hd-20200211-0739-23375-093-00000-000,HOKHOKHIT00000009,HIT Spray Flying Insect Killer (FIK) 400ml - Lime Fragrance 8901023014291,home_and_kitchen,3808,In State GST 18 %,GST-18,182,177,5,1
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901526209637_180,hd-20200211-0739-50875-093-00000-000,HFWBDCGAR00000002,Garnier Men Acno Fight Anti Pimple Face Wash 100 gm 8901526209637_180,health_and_personal_care,33049990,In State GST 18 %,GST-18,180,161,7,1
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901725959289_60,hd-20200211-0740-15327-093-00000-000,FSPBDCENG00000015,Engage Floral Fresh Pocket Purfumme 17 ml 8901725959289_60,health_and_personal_care,33072000,In State GST 18 %,GST-18,60,58,10,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906007283113,hd-20200211-0928-05595-093-00000-000,GRSGRSFOR00000014,Fortune Soya Chunks 45 gm Pouch 8906007283113,staple_and_grocery,21061000,In State GST 12 %,GST-12,10,10,6,4
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901652141429,hd-20200211-1019-36936-093-00000-000,PROPROPRI00000011,Priyagold C N C Biscuit 200 gm 8901652141429,processed_food,1905,In State GST 18 %,GST-18,40,20,1,39
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901063142015,hd-20200211-1337-58071-093-00000-000,BICSNKBRI00000017,Britannia Nc Digestive 100 gm 8901063142015,processed_food,19053100,In State GST 18 %,GST-18,20,20,7,50
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901414015524,hd-20200213-0651-08529-093-00000-000,NKMPROBIK00000024,Bikano Namkeen Shahi Mix 1 kg 8901414015524,processed_food,2106,In State GST 12 %,GST-12,247,185.25,4,8
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901595963324,hd-20200213-0651-21356-093-00000-000,NDPPROCHG00000004,Chings Secret Schezwan Noodles 60 gm 8901595963324,processed_food,2103,In State GST 12 %,GST-12,15,14.25,11,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901595963355,hd-20200213-0741-20211-093-00000-000,NDPPROCHG00000009,Chings Secret Schezwan Noodles 240G 8901595963355,processed_food,19053100,In State GST 12 %,GST-12,60,48,11,8
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901725711139,hd-20200215-0620-35185-093-00000-000,HMIHNKMGL00000008,Mangaldeep 14 Mogra Np + 1 Match Box Free 8901725711139,home_and_kitchen,33074100,In State GST 5 %,GST-5,10,10,7,5
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901725710835,hd-20200215-0620-35842-093-00000-000,HMIHNKMGL00000001,Mangaldeep 14 3-In-1 With Free Matches 8901725710835,home_and_kitchen,33074100,In State GST 5 %,GST-5,10,10,5,6
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8902587091117,hd-20200215-1218-52774-093-00000-000,HMIHNKLOC00000010,Fresh Rappfoil Paper 9 Mtr 8902587091117,home_and_kitchen,7607,In State GST 5 %,GST-5,71,35.5,6,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030518591_25,hd-20191224-0941-46869-093-00000-000,BKDPROBNP00000002,Brown And Polson Cornflour 100 gm 8901030518591_25,processed_food,210690,In State GST 12 %,GST-12,25,20,10,5
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030660320,hd-20191224-0941-47681-093-00000-000,SASPROKIS00000011,Kissan Sweet & Spicy Ketchup 500 gm 8901030660320,processed_food,21032000,In State GST 12 %,GST-12,105,100,15,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906006435773_89,hd-20191226-1902-07085-093-00000-000,IPCHNKALL00000001,All Out Ultra Combo Pack 45 ml 8906006435773_89,home_and_kitchen,38089191,In State GST 18 %,GST-18,89,86,6,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901393015850,hd-20191226-1902-08100-093-00000-000,BEVBEVALP00000001,Alpenliebe Gold Rich Crm Strawb 440 gm 8901393015850,beverage_and_confectionary,17049030,In State GST 12 %,GST-12,100,70,5,2
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901063092280,hd-20191226-1902-12991-093-00000-000,BSCBSCBRI00000022,Britannia Good Day Butter (53+22Gm) 8901063092280,processed_food,19053100,In State GST 18 %,GST-18,10,10,3,61
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901063094185_10,hd-20191226-1902-13165-093-00000-000,BICPROBRI00000004,"Britannia Good Day Pista Badam, (45+8G ) 8901063094185_10",processed_food,19053100,In State GST 18 %,GST-18,10,10,7,16
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901192226556_45,hd-20200216-0742-55416-093-00000-000,SCSSNGCAT00000008,Catch Hing 25 gm 8901192226556_45,staple_and_grocery,13019013,In State GST 5 %,GST-5,45,36,11,41
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8902167000300_80,hd-20200216-0742-57731-093-00000-000,SCSSNGMDH00000023,MDH Amchur Powder 100 gm 8902167000300_80,staple_and_grocery,910,In State GST 5 %,GST-5,80,64,23,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901399011016_150,hd-20200219-1152-45099-093-00000-000,BDCHPCSAN00000005,Santoor Soap Sndl&Almnd Milk 125 gm Pack of 4 8901399011016_150,health_and_personal_care,34011190,In State GST 18 %,GST-18,150,150,6,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906021922067,hd-20200221-1555-34166-093-00000-000,PKPPROAPI00000002,Apis Himalaya Honey (Buy 1 Get 1 Free) 500 gm 8906021922067,processed_food,4090000,In State GST 5 %,GST-5,240,228.57,2,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8902080013265,hd-20200224-1040-08102-093-00000-000,LQDBNCTRO00000001,Tropicana Guava Fruit Juice 1 ltr 8902080013265,beverage_and_confectionary,22029020,In State GST 12 %,GST-12,100,90,6,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901088002851,hd-20200225-0544-18527-093-00000-000,HOKHOKREV00000001,Revive Anti Bacterial Instant Starch 200 gm 8901088002851,home_and_kitchen,33049910,In State GST 18 %,GST-18,65,55.83,5,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,806360320600_390,hd-20200227-1158-55266-093-00000-000,COSBDCLOT00000001,Lotus Herbal Skin Cream Whiteglow Gel 60 gm 806360320600_390,health_and_personal_care,33049910,In State GST 18 %,GST-18,390,370,8,1
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901192212115_64,hd-20200301-1354-01303-093-00000-000,SCSSNGCAT00000045,Catch Pav Bhaji Masala 100 gm 8901192212115_64,staple_and_grocery,9109100,In State GST 5 %,GST-5,64,51.2,8,1
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8904137451068_110,hd-20200302-0634-56621-093-00000-000,SCSSNGCKD00000041,Chukde Garam Masala Sabut 100 gm 8904137451068_110,staple_and_grocery,910,In State GST 5 %,GST-5,110,88,18,9
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8904137451068_110,hd-20200302-0634-56621-093-00000-000,SCSSNGCKD00000041,Chukde Garam Masala Sabut 100 gm 8904137451068_110,staple_and_grocery,910,In State GST 5 %,GST-5,110,88,18,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030561603,hd-20200303-1034-32462-093-00000-000,SASPROKIS00000015,Kissan Tomato Puree 200 gm 8901030561603,processed_food,21032000,In State GST 12 %,GST-12,25,24,6,
